182 n/a
188 inc 1
204 inc 2
203 dec 0
205 inc 3
206 inc 4
208 inc 5
216 inc 6
217 inc 7
218 inc 8
219 inc 9
225 inc 10
226 inc 11
207 dec 1
204 dec 2
205 inc 12
217 inc 13
255 inc 14
254 dec 3
270 inc 15
261 dec 4
262 inc 16
264 inc 17
265 inc 18
255 dec 5
257 inc 19
249 dec 6
248 dec 7
249 inc 20
250 inc 21
265 inc 22
286 inc 23
308 inc 24
309 inc 25
317 inc 26
326 inc 27
328 inc 28
316 dec 8
318 inc 29
333 inc 30
330 dec 9
293 dec 10
292 dec 11
294 inc 31
321 inc 32
313 dec 12
307 dec 13
301 dec 14
296 dec 15
291 dec 16
295 inc 33
297 inc 34
304 inc 35
314 inc 36
331 inc 37
330 dec 17
342 inc 38
325 dec 18
324 dec 19
354 inc 39
360 inc 40
368 inc 41
371 inc 42
372 inc 43
373 inc 44
374 inc 45
381 inc 46
384 inc 47
387 inc 48
389 inc 49
390 inc 50
392 inc 51
393 inc 52
382 dec 20
361 dec 21
350 dec 22
356 inc 53
357 inc 54
359 inc 55
363 inc 56
371 inc 57
391 inc 58
398 inc 59
402 inc 60
403 inc 61
397 dec 23
394 dec 24
397 inc 62
396 dec 25
398 inc 63
399 inc 64
393 dec 26
411 inc 65
417 inc 66
428 inc 67
429 inc 68
456 inc 69
446 dec 27
451 inc 70
459 inc 71
456 dec 28
460 inc 72
458 dec 29
451 dec 30
455 inc 73
452 dec 31
446 dec 32
451 inc 74
448 dec 33
444 dec 34
476 inc 75
478 inc 76
480 inc 77
503 inc 78
502 dec 35
504 inc 79
496 dec 36
511 inc 80
518 inc 81
531 inc 82
543 inc 83
544 inc 84
516 dec 37
512 dec 38
511 dec 39
514 inc 85
524 inc 86
522 dec 40
523 inc 87
535 inc 88
558 inc 89
576 inc 90
589 inc 91
584 dec 41
580 dec 42
582 inc 92
581 dec 43
580 dec 44
571 dec 45
570 dec 46
578 inc 93
616 inc 94
609 dec 47
610 inc 95
603 dec 48
604 inc 96
614 inc 97
615 inc 98
616 inc 99
614 dec 49
612 dec 50
604 dec 51
601 dec 52
606 inc 100
604 dec 53
600 dec 54
599 dec 55
600 inc 101
609 inc 102
614 inc 103
607 dec 56
631 inc 104
629 dec 57
631 inc 105
637 inc 106
653 inc 107
661 inc 108
660 dec 58
661 inc 109
705 inc 110
721 inc 111
719 dec 59
722 inc 112
707 dec 60
720 inc 113
725 inc 114
721 dec 61
729 inc 115
730 inc 116
729 dec 62
730 inc 117
718 dec 63
728 inc 118
733 inc 119
709 dec 64
712 inc 120
699 dec 65
670 dec 66
671 inc 121
670 dec 67
655 dec 68
641 dec 69
658 inc 122
661 inc 123
659 dec 70
648 dec 71
649 inc 124
644 dec 72
643 dec 73
642 dec 74
643 inc 125
636 dec 75
656 inc 126
660 inc 127
670 inc 128
677 inc 129
679 inc 130
676 dec 76
658 dec 77
659 inc 131
651 dec 78
656 inc 132
637 dec 79
632 dec 80
625 dec 81
624 dec 82
585 dec 83
590 inc 133
591 inc 134
594 inc 135
595 inc 136
596 inc 137
607 inc 138
584 dec 84
586 inc 139
587 inc 140
597 inc 141
589 dec 85
588 dec 86
589 inc 142
599 inc 143
597 dec 87
606 inc 144
592 dec 88
612 inc 145
614 inc 146
608 dec 89
602 dec 90
601 dec 91
574 dec 92
567 dec 93
557 dec 94
535 dec 95
533 dec 96
534 inc 147
535 inc 148
509 dec 97
520 inc 149
525 inc 150
539 inc 151
535 dec 98
546 inc 152
551 inc 153
566 inc 154
571 inc 155
564 dec 99
567 inc 156
556 dec 100
566 inc 157
567 inc 158
566 dec 101
579 inc 159
610 inc 160
613 inc 161
620 inc 162
621 inc 163
598 dec 102
599 inc 164
626 inc 165
633 inc 166
659 inc 167
641 dec 103
642 inc 168
643 inc 169
641 dec 104
