182 n/a 574
188 inc 1 595
204 inc 2 612
203 inc 3 614
205 inc 4 619
206 inc 5 630
208 inc 6 641
216 inc 7 651
217 inc 8 654
218 inc 9 662
219 inc 10 670
225 dec 0 658
226 dec 1 637
207 dec 2 616
204 inc 11 626
205 inc 12 677
217 inc 13 726
255 inc 14 779
254 inc 15 785
270 inc 16 793
261 dec 3 787
262 inc 17 791
264 dec 4 784
265 dec 5 777
255 dec 6 761
257 dec 7 754
249 dec 8 746
248 inc 18 747
249 inc 19 764
250 inc 20 801
265 inc 21 859
286 inc 22 903
308 inc 23 934
309 inc 24 952
317 inc 25 971
326 dec 9 970
328 dec 10 962
316 inc 26 967
318 inc 27 981
333 dec 11 956
330 dec 12 915
293 dec 13 879
292 inc 28 907
294 inc 29 928
321 inc 30 941
313 dec 14 921
307 dec 15 904
301 dec 16 888
296 dec 17 882
291 inc 31 883
295 inc 32 896
297 inc 33 915
304 inc 34 949
314 inc 35 975
331 inc 36 1003
330 dec 18 997
342 dec 19 991
325 inc 37 1003
324 inc 38 1038
354 inc 39 1082
360 inc 40 1099
368 inc 41 1111
371 inc 42 1116
372 inc 43 1119
373 inc 44 1128
374 inc 45 1139
381 inc 46 1152
384 inc 47 1160
387 inc 48 1166
389 inc 49 1171
390 inc 50 1175
392 dec 20 1167
393 dec 21 1136
382 dec 22 1093
361 dec 23 1067
350 dec 24 1063
356 inc 51 1072
357 inc 52 1079
359 inc 53 1093
363 inc 54 1125
371 inc 55 1160
391 inc 56 1191
398 inc 57 1203
402 dec 25 1202
403 dec 26 1194
397 dec 27 1188
394 dec 28 1187
397 inc 58 1191
396 inc 59 1193
398 dec 29 1190
399 inc 60 1203
393 inc 61 1221
411 inc 62 1256
417 inc 63 1274
428 inc 64 1313
429 inc 65 1331
456 inc 66 1353
446 inc 67 1356
451 inc 68 1366
459 inc 69 1375
456 dec 30 1374
460 dec 31 1369
458 dec 32 1364
451 dec 33 1358
455 dec 34 1353
452 dec 35 1349
446 dec 36 1345
451 dec 37 1343
448 inc 70 1368
444 inc 71 1398
476 inc 72 1434
478 inc 73 1461
480 inc 74 1485
503 inc 75 1509
502 dec 38 1502
504 inc 76 1511
496 inc 77 1525
511 inc 78 1560
518 inc 79 1592
531 inc 80 1618
543 dec 39 1603
544 dec 40 1572
516 dec 41 1539
512 dec 42 1537
511 inc 81 1549
514 inc 82 1560
524 inc 83 1569
522 inc 84 1580
523 inc 85 1616
535 inc 86 1669
558 inc 87 1723
576 inc 88 1749
589 inc 89 1753
584 dec 43 1746
580 dec 44 1743
582 eq 0 1743
581 dec 45 1732
580 dec 46 1721
571 dec 47 1719
570 inc 90 1764
578 inc 91 1803
616 inc 92 1835
609 dec 48 1822
610 dec 49 1817
603 inc 93 1821
604 inc 94 1833
614 inc 95 1845
615 eq 1 1845
616 dec 50 1842
614 dec 51 1830
612 dec 52 1817
604 dec 53 1811
601 eq 2 1811
606 dec 54 1810
604 dec 55 1803
600 dec 56 1799
599 inc 96 1808
600 inc 97 1823
609 inc 98 1830
614 inc 99 1852
607 inc 100 1867
631 inc 101 1891
629 inc 102 1897
631 inc 103 1921
637 inc 104 1951
653 inc 105 1974
661 inc 106 1982
660 inc 107 2026
661 inc 108 2087
705 inc 109 2145
721 inc 110 2162
719 dec 57 2148
722 inc 111 2149
707 inc 112 2152
720 inc 113 2166
725 inc 114 2175
721 inc 115 2180
729 inc 116 2188
730 inc 117 2189
729 dec 58 2177
730 dec 59 2176
718 inc 118 2179
728 dec 60 2170
733 dec 61 2154
709 dec 62 2120
712 dec 63 2081
699 dec 64 2040
670 dec 65 2011
671 dec 66 1996
